Ticker,Name,GICS Sub Industry,ICB Subsector Name,ICB Sector Name,ICB Supersct Nm,ICB Industry Name,Co Des,Ind Group,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,CFO,CFO,CFO,CFO,CFO,CFO,CFO,CFO,CFO,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability
DG,DOLLAR GENERAL C,Consumer Staples Merchandise Retail,Diversified Retailers,Retailers,Retail,Consumer Discretionary,"Dollar General Corporation operates a chain of discount retail stores. The Company offer a broad selection of merchandise, including consumable products such as food, paper and cleaning products, health, beauty, pet supplies, and non-consumables such as seasonal merchandise. Dollar General serves customers in the United States.",Healthcare-Services,1251133056,1538960000,1589472000,1712555008,2655049984,2399232000,2415988992,1661273984,1125252992,11672298000,12516911000,13204038000,22825084000,25862624000,26327371000,29083367000,30795591000,31132733000,21986598000,23470967000,25625043000,27753973000,33746839000,34220449000,37844863000,38691609000,40612308000,15203959808,16249608192,17821173760,19264911360,23027976192,23407443968,26024765440,26972585984,28594810880,1605041000,1802108000,2143550000,2237998000,3876159000,2865811000,1984555000,2391798000,2996064000,-560296000,-560296000,-734380000,-784843000,-1027963000,-1070460000,-1560582000,-1700222000,-1309888000,3211526000,3005958000,2864690000,11696481000,13590442000,14246336000,17661099000,18090766000,17463385000,30.85%,30.77%,30.45%,30.59%,31.76%,31.60%,31.23%,30.29%,29.59%,13854361276661,15465276405228,20171199206765,20498356731822,41614222195350,25728065861238,6327254579545,10565550079078,26837251148332,23.2,26.69,25.34,26.11,39.74,37.13,40.94,27.03,15.89,71957773140000,82685697452000,89766814153650,92387260000000,93493805949000,90175729393000,82952014182000,106187938698400,120724804788000,267917064110080,360704487436288,417599773433856,532744759607296,657715307200512,676835062607872,748085662683136,470593139175424,254500446388224,27363392906370,2007818000,3554765000,2116306000,2302304000,3220675000,3328302000,2446300000,1714074000,97821000,97036000,99871000,100574000,150385000,157526000,211273000,326781000,274320000,187915000,267441000,235487000,240320000,1376577000,344829000,381576000,537283000,932576000,3677771000,4247852000,4663020000,5177868000,6914219000,6303843000,7581009000,8010724000,8163925000,2622805000,2964878000,3015857000,4543005000,5710783000,5979357000,5887768000,6725701000,6868702000
DGX,QUEST DIAGNOSTIC,Health Care Services,Medical Services,Medical Equipment and Services,Health Care,Health Care,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services. The Company operates a national network of full-service laboratories, rapid response laboratories, and patient service centers. Quest Diagnostics offers esoteric, routine medical, drugs of abuse, and non-hospital-based anatomic pathology testing services.",Home Builders,772000000,736000000,858000000,1431000064,1995000064,946000000,854000000,871000000,992000000,10503000000,11003000000,12843000000,14026000000,13611000000,12837000000,14022000000,16153000000,16225000000,7402000000,7531000000,7726000000,9437000000,10788000000,9883000000,9252000000,9872000000,11035000000,4719000064,4926000128,5037000192,5804000256,6578999808,6449999872,6199000064,6627999744,7369999872,1175000000,1200000000,1243000000,2005000000,2233000000,1718000000,1272000000,1334000000,1886000000,-252000000,-252000000,-400000000,-418000000,-403000000,-404000000,-408000000,-425000000,-527000000,3784000000,3893000000,5328000000,4655000000,4657000000,4622000000,5369000000,6925000000,6382000000,36.25%,34.59%,34.80%,38.50%,39.02%,34.74%,33.00%,32.86%,33.21%,12349670775000,11636304282500,11922219390230,23135040681298,26185431436782,19514807321538,13164185796923,14415642087595,22394796982759,16.11,14.46,15.81,22.98,30.11,15.27,13.93,13.24,14.17,68415580000000,77098155200000,79797379500000,95957175000000,93433037000000,93151750400000,98783288800000,112156544000000,121625198000000,180668079460352,162180406305792,196669916715008,220705822592000,293155233081344,269276580827136,235569641455616,272348156755968,318640992434176,15587612625000,1101000000,2381000000,1231000000,1971000000,1428000000,1262000000,1346000000,1556000000,153000000,169000000,180000000,166000000,152000000,148000000,163000000,226000000,264000000,137000000,135000000,1192000000,1158000000,872000000,315000000,686000000,549000000,420000000,1306000000,1390000000,2490000000,3058000000,2741000000,1898000000,2372000000,2392000000,2378000000,1057000000,1485000000,1990000000,1776000000,1753000000,1551000000,1815000000,2169000000,2278000000
DHI,DR HORTON INC,Homebuilding,Home Construction,Household Goods and Home Construction,Consumer Products and Services,Consumer Discretionary,"D.R. Horton, Inc. constructs and sells single-family homes designed primarily for the entry-level and move-up markets. The Company operates in the Midwest, Mid-Atlantic, Southeast, Southwest, and Western regions of the United States. D.R. Horton also, through its financial services operations, provide mortgage financing and title agency services to homebuyers.",Healthcare-Products,1038400000,1460300032,1618499968,2373700096,4175800064,5857500160,4745699840,4756400128,3585200128,12184600000,14114600000,15606600000,18912300000,24015900000,30351100000,32582400000,36104300000,35471200000,14091000000,16068000000,17592900000,20311100000,27774200000,33480000000,35460400000,36801400000,34250400000,11002600448,12347700224,13666899968,15349399552,19870599168,22905499648,26109999104,27266000896,25976100864,440200000,545200000,892100000,1421600000,534400000,561800000,4304100000,2189800000,3420900000,-157300000,-157300000,-224100000,-286800000,-267400000,-148200000,-148600000,-165300000,-137400000,2871600000,3203500000,3399400000,4320300000,5449400000,6114800000,5142600000,5971000000,6031100000,21.92%,23.15%,22.32%,24.43%,28.46%,31.58%,26.37%,25.91%,24.16%,3765920732885,5665762714305,9571403832184,16455635396718,3827664635632,6008153982069,63256624863173,32000018016475,53413204008621,14.28,17.46,17.03,21.72,31.25,34.17,22.55,19.81,14.48,104333055400000,136558741055000,145955176965000,180131550750000,217842727300000,301601793600000,358212869535000,391730323600000,413293708800000,201644006830080,236632374128640,275317663008768,409113200742400,428001701988352,353130845388800,557137945124864,937667153719296,833608201273344,20987453614231,2011900000,5332800000,2093400000,2949600000,7570400000,6101600000,5935900000,4424200000,0,0,0,0,0,0,0,0,0,1007800000,1473100000,1494300000,3018500000,3210400000,2540500000,3873600000,4516400000,2985400000,10261400000,11901000000,12796000000,15277500000,19716300000,24228600000,26273400000,29447200000,28320600000,1565400000,1752200000,1912100000,2507500000,3387300000,4498600000,4350000000,4362200000,4763500000
DHR,DANAHER CORP,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial and commercial products, and services in the sectors of test and measurement, environmental, life sciences, dental, and industrial technologies.",Media,2492100096,2651000064,3008000000,3646000128,6432999936,7208999936,4764000256,3899000064,3614000128,46648600000,47832500000,62082000000,76161000000,83184000000,84350000000,84488000000,77542000000,83464000000,15518800000,17049000000,17911000000,22284000000,24802000000,26643000000,23890000000,23875000000,24568000000,6947500032,7544000000,7927000064,9809000448,9562999808,10455000064,9856000000,9669000192,10044999680,3477800000,4022000000,3952000000,6208000000,8358000000,8519000000,7164000000,6688000000,6416000000,-570700000,-570700000,-636000000,-791000000,-1240000000,-1118000000,-1383000000,-1392000000,-1156000000,10522100000,9740300000,22526000000,22178000000,23272000000,20616000000,19536000000,17146000000,19696000000,55.23%,55.75%,55.74%,55.98%,61.44%,60.76%,58.74%,59.50%,59.11%,38896779967500,48966479955000,46896891456705,78968188639313,101851312003831,109915592836154,88081201495385,83988163361832,86678905172414,10.09,9.71,10.33,10.77,15.99,15.73,9.31,7.57,7.08,358285666400000,407228012235000,419299713000000,553894725000000,643252714500000,776755648000000,823296684000000,805881200000000,877066913000000,878578495733760,1.04363MMMMM,1.4781MMMMM,2.19934MMMMM,3.34961MMMMM,2.99759MMMMM,2.63213MMMMM,2.68469MMMMM,2.70132MMMMM,34417181077500,3055000000,6377000000,3269000000,4231000000,7536000000,5202000000,4863000000,4690000000,140100000,137000000,108000000,275000000,231000000,204000000,286000000,278000000,265000000,630300000,787800000,19912000000,6035000000,2586000000,5995000000,5864000000,2078000000,4615000000,6850000000,7093800000,25596000000,13802000000,11648000000,15883000000,13937000000,9497000000,12756000000,4792300000,4841500000,4932000000,7402000000,8140000000,8389000000,8274000000,6798000000,6807000000
DIS,WALT DISNEY CO/T,Movies & Entertainment,Entertainment,Media,Media,Consumer Discretionary,"The Walt Disney Company operates as an entertainment and media enterprise company. The Company's business segments includes, media networks, parks and resorts, studio entertainment, consumer products, and interactive media. Walt Disney serves customers worldwide.",REITS,8979999744,12597999616,11054000128,-2864000000,1995000064,3144999936,2353999872,4972000256,12403999744,95789000000,98598000000,193984000000,201549000000,203609000000,203631000000,205579000000,196219000000,197514000000,55137000000,59434000000,69607000000,65388000000,67418000000,82722000000,88898000000,91361000000,94425000000,30306000896,32725999616,42061000704,43880001536,45131001856,54400999424,59200999424,58697998336,58766000128,12343000000,14295000000,6606000000,7618000000,5567000000,6010000000,9866000000,13971000000,18101000000,-3623000000,-3623000000,-4876000000,-4022000000,-3578000000,-4943000000,-4969000000,-5412000000,-8024000000,25432000000,21028000000,47137000000,62323000000,58313000000,52259000000,50672000000,49517000000,45423000000,45.04%,44.94%,39.57%,32.89%,33.06%,34.24%,33.41%,35.75%,37.76%,116079281692308,136875024530888,24789223230769,52150755242264,28505324430000,15500829983269,74544024053654,135307795721538,163849713917308,21.23,27.97,16.06,-3.32,2.32,4.54,2.42,4.97,11.78,621505908000000,804466352250000,1.45921MMMMM,1.45108MMMMM,1.45828MMMMM,1.65206MMMMM,1.74961MMMMM,1.59285MMMMM,1.91436MMMMM,2.01373MMMMM,2.59444MMMMM,3.28762MMMMM,3.24795MMMMM,4.47202MMMMM,2.56102MMMMM,2.23483MMMMM,2.6855MMMMM,3.45132MMMMM,184675215013462,14837000000,3659000000,11830000000,-1941000000,6533000000,5100000000,8319000000,13832000000,507000000,682000000,1246000000,1647000000,1546000000,1549000000,1973000000,2070000000,1812000000,4017000000,4150000000,5418000000,17914000000,15959000000,11615000000,14182000000,6002000000,5695000000,15889000000,16825000000,28124000000,35251000000,33657000000,29098000000,32763000000,25241000000,24267000000,19595000000,17860000000,31341000000,26628000000,31077000000,29073000000,31139000000,34599000000,34162000000
DLR,DIGITAL REALTY,Data Center REITs,Other Specialty REITs,Real Estate Investment Trusts,Real Estate,Real Estate,"Digital Realty Trust, Inc. owns, acquires, repositions, and manages technology-related real estate. The Company's properties contain applications and operations critical to the day-to-day operations of technology industry tenants and corporate enterprise data center tenants. Digital property portfolio is located throughout the United States and in England.",Retail,248259008,331246016,579761024,356396992,1709261952,377871008,948838016,602489984,1308589056,21404345000,23766695000,23068131000,36076291000,36369560000,41484998000,44113258000,45283616000,49410468000,2457928000,3046478000,3209241000,3903609000,4427883000,4691834000,5477061000,5554968000,6112692000,--,--,--,--,--,--,--,--,--,1023305000,1385324000,1513817000,1706541000,1702228000,1659388000,1634780000,2261477000,2412136000,-1617240000,-1617240000,-1578684000,-2972633000,-2712787000,-4573275000,-3577895000,-3339741000,-3502425000,8648618000,11101479000,10815987000,14773429000,14960397000,18067847000,18968001000,18008596000,19655352000,--,--,--,--,--,--,--,--,--,-7946805754875,-29608939436245,-917388618252,-18456893463305,-14460067435695,-43275451569053,-29605933894431,-17099964686402,-17966740844397,2.64,2.83,5.85,2.1,9.89,1.98,5.16,2.88,5.93,150872346976000,156880347636100,147459201772500,257450231975000,263750870007000,304284511436800,323166974303600,376930885920000,414753843982000,318000879722496,317316868872192,346365761589248,544512305971200,716285538107392,452702217553920,645482048520192,970893095960576,887261378846720,6038293252875,549787000,694012000,594215000,557526000,589969000,524461000,471864000,658492000,258642000,321529000,353057000,333021000,293846000,299132000,437741000,452836000,437947000,51000,126700000,89817000,108501000,142698000,141773000,1625495000,3870891000,3451647000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DLTR,DOLLAR TREE INC,Consumer Staples Merchandise Retail,Diversified Retailers,Retailers,Retail,Consumer Discretionary,"Dollar Tree, Inc. operates a discount variety store chain. The Company sells an assortment of everyday general merchandise, as well as offers kitchen and dinning, toys, books, crafts, cleaning, personal care, glasses, food carriers, gifts, and other household products. Dollar Tree serves customers in the United States.",REITS,896200000,1714300032,-1590800000,827000000,1341900032,1327900032,1615399936,-998400000,-3030099968,15701600000,16332800000,13501200000,19574600000,20696000000,21721800000,23022100000,22023500000,18644000000,20719200000,22245500000,22823300000,23610800000,25509300000,26321200000,28331700000,16781100000,17578500000,14324500480,15223600128,15875800064,16570099712,17720999936,18583900160,19396300800,10761400320,11284100096,1673300000,1510200000,1766000000,1869800000,2716300000,1431500000,1614800000,2684500000,2862500000,-564700000,-564700000,-817100000,-1034800000,-898800000,-1021200000,-1248800000,-1193800000,-1300500000,6321800000,5678000000,4265300000,10031000000,9639900000,9970300000,10126500000,7368400000,7830600000,30.86%,31.57%,30.44%,29.82%,30.53%,29.40%,31.54%,35.87%,35.81%,14699304537192,11749071738636,13582783430885,11778597514423,26555001425481,5879755781942,5461710381923,22765697855038,24860860487692,18.3,27.27,-24.81,13.9,19.82,17.7,19.62,-12.43,-53.68,72141152250000,96946685400000,78933167345000,86216163200000,102252828150000,111150259250000,131044961000000,115061390160000,64767981600000,234066309230592,346881429680128,322005382160384,284112812130304,321195422310400,416521904576512,498114594054144,475574431940608,256895933779968,22604523159846,1999100000,1887900000,-939500000,1262200000,1811400000,2236300000,1774500000,1462000000,--,--,--,--,--,--,--,--,--,866400000,1097800000,422100000,539200000,1416700000,984900000,642800000,425200000,1256500000,3938000000,4576300000,4293300000,4269400000,5050800000,5609200000,6367100000,6132700000,9107200000,2105900000,2859100000,2095700000,3546500000,3730300000,4176600000,4225200000,4696700000,8585900000
DOC,HEALTHPEAK PROPE,Health Care REITs,Health Care REITs,Real Estate Investment Trusts,Real Estate,Real Estate,"Healthpeak Properties, Inc. operates as a real estate investment trust. The Trust invests in health care related real estate properties such as senior housing, life sciences, medical offices, hospitals, and skilled nursing homes. Healthpeak Properties serves customers in the United States.",Machinery-Diversified,414168992,1061092992,45530000,413563008,505540000,500448992,306008992,243142000,71347000,14088461000,12718553000,14032891000,15920089000,15257519000,15771229000,15698850000,19938255000,20336018000,1848378000,1191320000,1240339000,1644875000,1896184000,2061178000,2181003000,2700449000,2822512000,--,--,--,--,--,--,--,--,--,847041000,848709000,846073000,758431000,795248000,900261000,956242000,1070497000,1251959000,-1049492000,-1049492000,-2340033000,-2056338000,-2205061000,-1148279000,-860649000,-720065000,-1384310000,7880466000,5567908000,6154652000,6477874000,6374536000,6706128000,7083042000,9023269000,10144154000,--,--,--,--,--,--,--,--,--,-2708779196175,-2666337351058,-21128492147364,-18920687615338,-20172984508297,-3683427307666,1456486126025,5557428259670,-2180996155603,7.61,18.82,0.73,6.39,7.55,7.56,4.68,3.29,0.89,76024017544000,93957475986550,92321178741000,102273165100000,101749801804000,113020769094400,106584829092000,147313196736000,138592814543000,166356288225280,192405363720192,241145364092928,226643225139200,276678738948096,212512794964992,166752229130240,230600166457344,186564155962368,5141664338850,299226000,315315000,287267000,153897000,344728000,421996000,315558000,519505000,307716000,261280000,217612000,218336000,157980000,172944000,200331000,280430000,305178000,55306000,110790000,80398000,44226000,158287000,72032000,117635000,119818000,467457000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DOV,DOVER CORP,Industrial Machinery & Supplies & Components,Diversified Industrials,General Industrials,Industrial Goods and Services,Industrials,"Dover Corporation manufactures industrial products and manufacturing equipments. The Company's products includes printing, identification, marking and coding systems, waste handling, industrial equipments, refrigeration systems, display cases, industrial pumps, fuel dispensers, nozzles, piping, and electronic tank gauge equipments. Dover serves customers worldwide.",Chemicals,811665024,570267008,677918016,683451008,1123817984,1065376000,1056828032,2697125888,1093955968,10658359000,8365771000,8669477000,9152074000,10403627000,10896519000,11348513000,12509160000,13422423000,6820886000,6992118000,7136397000,6683760000,7907081000,7844174000,7684476000,7745909000,8092571000,4291838976,4432562176,4515459072,4209741056,4937294848,4939220992,4816931840,4787288064,4874401792,835634000,798635000,945306000,1104810000,1115865000,805724000,1336345000,748379000,1333575000,-170068000,-170068000,-186804000,-165692000,-171465000,-220962000,-183406000,-167533000,-220263000,3567804000,3163978000,3233549000,3303002000,3311192000,3895418000,3687797000,3163099000,3584452000,37.08%,36.61%,36.73%,37.02%,37.56%,37.03%,37.32%,38.20%,39.77%,8905223162550,8939316592623,10727197214624,13690317034996,13513399698851,8684564504534,17566554639489,9211516000013,18346134082759,19.84,15.95,23.37,21.3,29.67,25.14,22.5,44.73,15.24,59558649840000,39943682815300,41991726690000,47146889025000,59652594428000,66469534835200,78598821518000,113099790944000,123615103758000,212456732815360,148335937634304,230307252942848,252722332313600,372473678723072,293339268605952,331196515287040,418664725757952,439483227303936,10796074163550,843112000,1281508000,974894000,932987000,1279641000,1219340000,1206355000,1373361000,144948000,130972000,125818000,111937000,106319000,116456000,131304000,131171000,109772000,753964000,396221000,397253000,513075000,385504000,380868000,398561000,1844877000,1676808000,2790147000,2503754000,2548430000,2619187000,3061709000,3423465000,3390235000,4484497000,4506940000,2141978000,1827421000,1749891000,1738798000,2250341000,2773274000,2413770000,2196527000,2518489000
DOW,DOW INC,Commodity Chemicals,Plastics,General Industrials,Industrial Goods and Services,Industrials,"Dow Inc. produces and distributes chemical products. The Company manufactures and supplies chemicals for liquid injection molding, architecture fabrication, leather, textiles, automobiles, rubber consumer goods, and food industries. Dow serves customers worldwide.",Retail,465000000,4640999936,-1359000064,1224999936,6311000064,4582000128,589000000,1116000000,-2623000064,--,83699000000,60524000000,61470000000,62990000000,60603000000,57967000000,57312000000,58538000000,43730000000,49604000000,42951000000,38542000000,54968000000,56902000000,44622000000,42964000000,39968000000,36350001152,41073999872,36657000448,33346000896,44190998528,48338001920,39742001152,38357999616,37434998784,-4929000000,4254000000,5930000000,6226000000,7009000000,7475000000,5196000000,2914000000,1032000000,-3115000000,-3115000000,-2046000000,-1262000000,-2287000000,-2020000000,-2578000000,-3143000000,-2676000000,--,19889000000,19156000000,19044000000,16135000000,16706000000,16564000000,17751000000,19734000000,16.88%,17.20%,14.65%,13.48%,19.61%,15.05%,10.94%,10.72%,6.34%,-107628116700000,28813027617500,54929893370881,72364424664122,67566998494253,81014668142308,39888701870769,-3631663408206,-27091277586207,--,--,-5.91,9.43,41.25,23.57,2.94,6.14,-15.79,--,485051848050000,195152571000000,181094625000000,266815251500000,329481478400000,294102692800000,290328664000000,292494746000000,--,--,561942139031552,574365024870400,593786417770496,550791554015232,592803955474432,459229991731200,279919249392640,11306036625000,4079000000,7881000000,-762000000,1609000000,5584000000,1572000000,1802000000,-1698000000,914000000,1063000000,933000000,827000000,731000000,662000000,746000000,811000000,865000000,--,2724000000,2367000000,5104000000,2988000000,3886000000,2987000000,2189000000,3816000000,--,39370000000,16815000000,19084000000,20848000000,20477000000,17614000000,16590000000,18062000000,--,15547000000,10679000000,11108000000,13226000000,11331000000,9957000000,10288000000,9183000000
DPZ,DOMINO'S PIZZA,Restaurants,Restaurants and Bars,Travel and Leisure,Travel and Leisure,Consumer Discretionary,"Domino's Pizza, Inc. operates a network of company-owned and franchise Domino's Pizza stores, located throughout the United States and in other countries. The Company also operates regional dough manufacturing and distribution centers in the contiguous United States and outside the United States.",Retail,277904992,361972000,400708992,491296000,510467008,452263008,519118016,584169984,601704000,836753000,907385000,1382092000,1567168000,1671816000,1602221000,1674899000,1737013000,1716459000,2787979000,3432867000,3618774000,4117411000,4357373000,4537158000,4479358000,4706416000,4939994000,1921987968,2130188032,2216274944,2522917888,2669131008,2888551936,2751941120,2857914112,2966434048,341261000,394171000,496950000,592794000,654206000,475317000,590864000,624897000,792062000,-90011000,-90011000,-85565000,-88768000,-94172000,-87234000,-105396000,-112885000,-120558000,3153814000,3531584000,4350498000,4357002000,5291852000,5252354000,5209306000,5197241000,5048284000,31.06%,37.95%,38.76%,38.73%,38.74%,36.34%,38.56%,39.28%,39.95%,3361706156250,3906341451222,5819337734212,7344018009849,8014001457912,5763595867401,7396748785255,8118441693056,11062420172338,--,--,--,--,--,--,--,--,--,-37168397792000,-44141324876550,-47654107748750,-46479603615000,-59937478336000,-64960668768000,-62649460717200,-64153453581000,-65375337636000,110145258506240,148729031686144,158773547942912,209899470972928,290388917524480,190261428000768,220339156484096,238464305888256,239819191621632,6974045067600,571689000,780408000,629407000,725642000,767925000,819519000,878999000,953974000,122541000,146345000,150818000,172166000,191806000,198254000,196475000,195870000,195972000,35768000,25438000,190615000,168821000,148160000,60356000,114098000,186126000,125675000,579780000,566951000,787617000,869384000,860540000,790654000,817291000,905278000,894201000,398285000,379743000,453831000,470819000,590741000,536621000,547350000,1612462000,541621000
DRI,DARDEN RESTAURAN,Restaurants,Restaurants and Bars,Travel and Leisure,Travel and Leisure,Consumer Discretionary,"Darden Restaurants, Inc. is a full-service restaurant company. The Company owns and operates a variety of seafood and Italian restaurants under a multitude of brand names. Darden Restaurants serves customers in the United States and Canada.",Electric,479100000,596000000,713400000,-52400000,629299968,952800000,981900032,1027600000,1049600000,5292300000,5469600000,5892800000,9946100000,10656100000,10135800000,10241500000,11323000000,12587000000,7170200000,8080100000,8510400000,7806900000,7196100000,9630000000,10487800000,11390000000,12076700000,5600799744,6334700032,6661400064,6398499840,5702600192,7634999808,8404400128,8979800064,9434099712,898000000,1001500000,1257200000,711300000,1194000000,1256100000,1545600000,1611900000,1698500000,-293000000,-293000000,-452000000,-459900000,-254900000,-376900000,-564900000,-601200000,-644600000,1096200000,1100000000,1103000000,6009800000,5757700000,5877800000,5921100000,6733100000,7773500000,21.89%,21.60%,21.73%,18.04%,20.75%,20.72%,19.86%,21.16%,21.88%,8024894519231,8193765452027,11620670246308,3608240082453,13530886902885,12621530087385,14835299732885,15699509614212,16988681540769,23.64,27.74,31.1,-2.22,24.47,38.03,44.63,46.25,46.1,27977830400000,30859217220000,34309764370000,34244162400000,40220297250000,31939955910000,33009401075000,35954002500000,37584049300000,146817109983232,152595716648960,212059960381440,146666629724160,267865644453888,226905657794560,292847933952000,281373372989440,388155583649792,8986555432692,766800000,648700000,832500000,47900000,1162200000,1201800000,1314200000,1362300000,41500000,161900000,54000000,62200000,65200000,70600000,89100000,143200000,178500000,233100000,146900000,457300000,763300000,1214700000,420600000,367800000,194800000,240000000,587900000,553600000,892600000,1101400000,1871100000,1179400000,997700000,822800000,937700000,1289200000,1384500000,1474100000,1792800000,1848300000,1847500000,1937400000,2192500000,2247500000
DTE,DTE ENERGY CO,Multi-Utilities,Conventional Electricity,Electricity,Utilities,Utilities,"DTE Energy Company operates as an energy company. The Company offers energy marketing and trading, renewable natural gas, and industrial energy solutions, as well as focuses on development and management of energy-related businesses and services. DTE Energy serves customers in the United States.",Electric,1134000000,1120000000,1168999936,1368000000,907000000,1083000064,1396999936,1404000000,1462000000,33767000000,36288000000,42268000000,45496000000,39719000000,42683000000,44755000000,48846000000,54066000000,12607000000,14212000000,12168000000,11423000000,14964000000,19228000000,12745000000,12457000000,15814000000,--,--,--,--,--,--,--,--,--,2117000000,2680000000,2649000000,3697000000,3067000000,1977000000,3220000000,3643000000,3409000000,-2236000000,-2236000000,-3003000000,-3857000000,-3771000000,-3377000000,-3931000000,-4471000000,-4431000000,12915000000,14242000000,17610000000,19607000000,18251000000,19240000000,20970000000,23241000000,26290000000,43.17%,39.41%,43.84%,48.88%,38.47%,31.56%,50.90%,52.98%,45.37%,-1592211075000,-256369005000,-5006483587356,-2332455267176,-10073521164751,-20792032153846,-10833027895385,-13131079921374,-16841414655172,12.24,11.34,10.67,11.35,8.58,11.34,13.03,12.34,12.18,135744120000000,154614694850000,163887174000000,175301825000000,124060050500000,161290387200000,170154138000000,190353856000000,205457444000000,266809859858432,289497365563392,345650499567616,327595252633600,329783470825472,374772786960384,350213095358464,406859699388416,447288418985984,22893051675000,1594000000,1495000000,1430000000,1555000000,1748000000,2243000000,2091000000,2374000000,536000000,559000000,568000000,601000000,630000000,675000000,791000000,951000000,1056000000,66000000,71000000,93000000,472000000,28000000,33000000,26000000,24000000,208000000,3081000000,3260000000,3086000000,3498000000,3317000000,4180000000,3539000000,3607000000,4348000000,2812000000,4438000000,3997000000,2691000000,6346000000,5173000000,5883000000,5106000000,5409000000
DUK,DUKE ENERGY CORP,Electric Utilities,Multi-Utilities,"Gas, Water and Multi-utilities",Utilities,Utilities,"Duke Energy Corporation operates as a holding company. The Company, through its subsidiaries, provides electric utility upgrades and cleaner generation including natural gas, nuclear, renewables, and energy storage services. Duke Energy serves customers in the United States.",Healthcare-Services,3059000064,2665999872,3748000000,1376999936,3908000000,2550000128,2840999936,4524000256,4968000000,137914000000,145392000000,158838000000,162388000000,169587000000,178086000000,176893000000,186343000000,195736000000,23565000000,24521000000,25079000000,23868000000,24621000000,28768000000,29060000000,30357000000,32237000000,--,--,--,--,--,--,--,--,--,6624000000,7186000000,8209000000,8856000000,8290000000,5927000000,9878000000,12328000000,12330000000,-8052000000,-8052000000,-11122000000,-9907000000,-9715000000,-11367000000,-12604000000,-12280000000,-14024000000,55442000000,58880000000,63020000000,64382000000,69027000000,76833000000,81169000000,85962000000,91628000000,70.37%,69.30%,70.28%,72.72%,71.73%,65.04%,66.69%,67.81%,96.95%,-19106532900000,-31376717667500,-41197420028161,-15321315536260,-20390294971264,-80791896369231,-41534225095385,761222024427,-27915221551724,7.39,6.23,8.36,2.8,8.15,5.16,5.79,9.14,9.82,567122356000000,632395309700000,663953521500000,684887200000000,728099936000000,804094841600000,772458229200000,833627584000000,885046167000000,800020699480064,905151409311744,971235417980928,980454264627200,1.14863MMMMM,1.22974MMMMM,1.1516MMMMM,1.35977MMMMM,1.52222MMMMM,75262078125000,4685000000,5500000000,5709000000,4553000000,6012000000,7070000000,7926000000,8626000000,1986000000,2094000000,2204000000,2162000000,2207000000,2439000000,3014000000,3384000000,3634000000,358000000,442000000,311000000,259000000,341000000,409000000,253000000,314000000,245000000,8453000000,9714000000,9163000000,8682000000,9940000000,13222000000,12769000000,12950000000,11613000000,12482000000,15041000000,14752000000,16305000000,15931000000,18873000000,17283000000,19357000000,21047000000
