estimator,coef_bqs,coef_hhi,coef_size,coef_growth,r2_overall,r2_within,loglik,n_obs,notes
Pooled OLS (CEM),0.040272120995308296,0.001135635539729428,-0.010299018125643055,-0.04299938011351624,0.1515336398301259,0.024685454816485763,3089.1959062989736,2241,Tanpa efek perusahaan dan tahun
Random Effects (REM),0.03496422910704733,-0.0024729666361581093,0.0006916646290291112,-0.015066717067048234,0.1021253415347293,0.08567680378133224,4563.63431976119,2241,Efek acak perusahaan
Fixed Effects (FEM),0.03339977471237338,0.05133270230612997,0.015046346344142328,-0.013976274026714879,-7.717757208902034,0.09880587685349018,4777.374334916698,2241,Efek tetap perusahaan
Two-way Fixed Effects,0.033070938213921056,0.07589175540750508,0.006998471476795059,-0.010272456152160525,-0.6396262086167788,0.09316237695966145,4807.500928035647,2241,Efek tetap perusahaan dan tahun
