taxonomy,mean,median,min,max
HHI_GICS_SUB,0.3535308580665339,0.3336164766519651,0.1094357867430572,1.0
HHI_ICB_SUBSECTOR,0.3805299231338434,0.3272970487780887,0.0949540080885329,1.0
HHI_ICB_SECTOR,0.18335326759716047,0.1475835592366105,0.0451633906541867,1.0
HHI_ICB_SUPERSECTOR,0.10277452856728522,0.0787653459292475,0.0245955647738275,0.9740349528786344
HHI_ICB_INDUSTRY,0.0807039040619668,0.0763626111397794,0.0212903832655813,0.9740349528786344
HHI_BLOOMBERG_IND_GROUP,0.29730029082707926,0.2389423286159706,0.1148645119354436,1.0
