bqs_decile,Z_MARG,Z_FCF_MARGIN,Z_LEV,Z_INTEREST_COVERAGE,Z_CONS
D1,-1.0040640048306813,-0.98885532643788,-0.907374168932908,-0.09838987138524745,-0.5832698658511093
D2,-0.9800679082249142,-0.5017150363950134,-0.17568701415588173,-0.08598254465774205,-0.48411400190404574
D3,-0.7606230901695437,-0.37226731030802346,-0.07091105596203352,-0.08152247258285154,-0.3964370121121803
D4,-0.47473653817302014,-0.25848533748618574,-0.0035516895999073016,-0.07781197885943576,-0.2818757242194193
D5,-0.17747924097232962,-0.09638839533039113,-0.07531050521341016,-0.07421935068253924,-0.13546480635298025
D6,0.08936173854759863,0.08434776702055857,-0.05712639482974766,-0.06662195239045654,-0.07298637883996793
D7,0.42431246731600997,0.3270841465633269,0.008920422334079114,-0.06823524032005827,-0.09788931857646659
D8,0.5844013826728708,0.4351331531054767,0.12593643584289843,-0.033926374484027536,0.15864988542775602
D9,0.8665662439463834,0.679068608660241,0.4314457307990583,-0.018638042749496007,0.26915420116214184
D10,1.2827783139204385,0.9093262980497248,0.6531731286028538,0.6808813221417819,1.537155831128859
