term,source_term,coef,se_cluster_firm,t,p
BQS,BQS,0.033070938213921146,0.0061853410150806394,5.346663689728673,8.959025886720339e-08
HHI,HHI,0.0758917554075032,0.05218861591250322,1.4541821828488317,0.145895803380268
SIZE,SIZE,0.006998471476794092,0.00798643579481582,0.8762947147633693,0.38086983754213966
GROWTH,GROWTH,-0.010272456152160443,0.005544169349557996,-1.8528395336587988,0.06390536193945016
