,SROA,BQS,HHI,SIZE,GROWTH
SROA,1.0,0.31779943973055824,-0.04344547470559771,-0.21424341522415163,-0.08306230004395648
BQS,0.31779943973055824,1.0,-0.10535988580099104,-0.09403050062766416,0.11289948587332842
HHI,-0.04344547470559771,-0.10535988580099104,1.0,0.08796098731925758,-0.021415522678665224
SIZE,-0.21424341522415163,-0.09403050062766416,0.08796098731925758,1.0,-0.05114129414372453
GROWTH,-0.08306230004395648,0.11289948587332842,-0.021415522678665224,-0.05114129414372453,1.0
