term,source_term,beta,sd_x,sd_y,beta_standardized
BQS,BQS,0.033070938213921146,0.5172840114374408,0.0662021151203099,0.25840666193531736
HHI,HHI,0.0758917554075032,0.22210164605390764,0.0662021151203099,0.2546094451407628
SIZE,SIZE,0.006998471476794092,1.2312912070031,0.0662021151203099,0.13016436674536006
GROWTH,GROWTH,-0.010272456152160443,0.19753684505427338,0.0662021151203099,-0.030651416130262087
