hhi_quintile,n_obs,mean_SROA,mean_HHI
Q1,458,0.07406801862684435,0.13158553296222444
Q2,445,0.08388208507293926,0.19575157871535737
Q3,444,0.08041675628069014,0.31471359846642366
Q4,447,0.07912855984684884,0.4235453378606978
Q5,447,0.07902793667315074,0.7065535180296322
