model,outcome,bqs_var,hhi_var,bqs_coef,bqs_p,bqs_beta_standardized,hhi_coef,hhi_p,hhi_beta_standardized,n_obs,n_firms,r2,notes
Main,SROA,BQS,HHI,0.033070938213921146,8.959025886720339e-08,0.25840666193531736,0.0758917554075032,0.145895803380268,0.2546094451407628,2241,333,0.8169216632564066,Baseline: BQS utama + HHI GICS
Legacy BQS,SROA,BQS_OLD,HHI,0.035034707669800824,9.971411032162877e-14,0.30106503102212645,0.07604040701838113,0.14483223308099158,0.2551081568119013,2241,333,0.8198983378787877,BQS alternatif empat komponen
Extra controls,SROA,BQS,HHI,0.033530651953566956,1.2181990192741754e-07,0.26199873096399917,0.06821712118449014,0.1865525718397092,0.2288617950740669,2241,333,0.819798004619559,"Tambah liquidity, cash ratio, capex intensity"
ICB Subsector HHI,SROA,BQS,HHI_ICB_SUBSECTOR,0.033036095434870225,6.990914213942547e-08,0.25813441062606035,0.09046032811592633,0.1126968324837832,0.32015344248205585,2241,333,0.8172808121367157,HHI ICB Subsector
ICB Sector HHI,SROA,BQS,HHI_ICB_SECTOR,0.033008478312359285,7.897537755575205e-08,0.2579186184887418,0.07118398244074388,0.3922398130281005,0.1527616586809189,2241,333,0.8166700036163224,HHI ICB Sector
ICB Industry HHI,SROA,BQS,HHI_ICB_INDUSTRY,0.03317202110294708,8.771863099568221e-08,0.2591964941367205,-0.020160108989226044,0.9160127521091572,-0.02632974695260901,2241,333,0.8164011283275394,HHI ICB Industry
Sustained ROE,SROE,BQS,HHI,0.05105753695109126,0.05748745641350552,0.05878007584669892,0.5212423086669162,0.2325836572979456,0.25997250908992847,2109,326,0.8398818964378179,Outcome alternatif SROE
